,Description
4266,DREAMS become REALITY at the 2018 #NBADRAFT presented by @statefarm (7pm/et @espn)!
4267,The 2018 #NBADraft presented by @statefarm tips off 7pm/et @espn TOMORROW!!
4268,Keep trying until you find a way... a #JrNBA hooper gets creative to get past #NBADraft prospect @therealmobamba! (repost @jrnba)
4269,The perfect fit... getting fitted for the #NBADraft caps!
4270,@traeyoung surprises a lucky fan with tickets to tomorrow’s #NBADraft! #ThisIsWhyWePlay
4271,Flashing lights! #NBADraft (??: @sfreemanphoto)
4272,"The Future of the Assist presented by State Farm... “If you don’t want to be the best, why play the game?” - @mb3five"
4273,Views... #NBADraft prospect @deandreayton visits the @empirestatebldg ahead of Thursday’s Draft!
4274,Rep your team and city with the NBA Authentics: Draft Series collection from @neweracap featuring custom patches and team inspired pins!
4275,The Future of the Assist presented by State Farm... @mpj is ready for his journey to continue into the NBA!
4276,Dreams become reality at the 2018 #NBADraft presented by @statefarm on Thursday!
4277,We celebrate @swish41’s 40th Birthday with his BEST PLAY from every season! #NBABDAY
4278,?? some of the celebrity presenters and attendees for the 2018 #NBAAwards (6/25 @nbaontnt)!
4279,Join us in wishing @swish41 of the @dallasmavs a HAPPY 40th BIRTHDAY! #NBABDAY
4280,?? The BEST of LeBron James Jr. at the Midwest Regional! #JrNBAWorldChampionship (repost @jrnba)
4281,#NBADraft prospect @therealmobamba visits the @nbastore & spends time with fans in NYC!
4282,Matheus De Souza ???? is just getting started at #AmericasTeamCamp! (repost @nbaacademy)
4283,Happy Father’s Day! #ThisIsWhyWePlay
4284,?? Ahmad Henderson (27 PTS) nails the floater to give the Mac Irvin Fire the 72-71 win! #JrNBAWorldChampionship (repost @jrnba)
4285,@kevindurant’s big clutch triple in Game 3... one of the newest #BudweiserLegendaryMoments of the #NBAFinals!
4286,Oscar Robertson to receive Lifetime Achievement Award at 2018 #NBAAwards (6/25 @NBAonTNT)!
4287,One of the keys to the @warriors success... ball movement! #NBABreakdown
4288,?? Which was YOUR favorite ASSIST from the #NBAPlayoffs?
4289,The #LastShot! #NBAvault (repost @nbahistory)
4290,20 years ago today... Michael Jordan buried the #LastShot to secure his sixth title with the @chicagobulls!
4291,?? Which was YOUR favorite ASSIST from the #NBAFinals?
4292,The Road Team Won and So Did You. Hurry In To Get A Free Taco From 2-6 PM TODAY! #StealATaco #TacoBellPartner
4293,???? #WarriorsParade
4294,Rep the Bay! #WarriorsParade
4295,The celebration continues for @klaythompson & champion @warriors! #WarriorsParade
4296,BANG.. ???????????? the best triples from the #NBAFinals!
4297,Criss-crossin’ the TOP 3 Kumho Handles of the #NBAPlayoffs! #KumhoHandles
4298,The BEST of the 2018 #NBAFinals presented by @youtube TV!
4299,3??2??1??... the TOP 3 #KumhoHandles of the #NBAFinals!
4300,"Here's the first look of the all new #BestShotSeries starring @RealJayWilliams and executive produced by @KingJames. Check it out, premiering July 18th on the NBA @YouTube channel!"
4301,@anthonyanderson to host and @travisscott to perform at the 2018 #NBAAwards June 25th @nbaontnt!
4302,Championship Klay! #ThisIsWhyWePlay
4303,The @warriors celebrate their third title in four years! #PhantomCam #ThisIsWhyWePlay
4304,?? The @warriors return home with new hardware! #ThisIsWhyWePlay
4305,?? ?? ??
4306,@sdot1414 and family share a championship moment! #ThisIsWhyWePlay
4307,@kevindurant sums up that championship feeling! #ThisIsWhyWePlay
4308,@warriors Coach Steve Kerr and @qcook323 share a moment as champs! #ThisIsWhyWePlay
4309,?? Inside the @warriors celebration! ?? #ThisIsWhyWePlay
4310,There’s a reason we hold our loved ones closest! ?? #ThisIsWhyWePlay #ImWhy
4311,@stephencurry30’s wild triple headlines the TOP 3 PLAYS from Game 4 of the #NBAFinals presented by @youtube TV!
4312,The CHAMPS are here! #ThisIsWhyWePlay
4313,The CHAMPS are here! #ThisIsWhyWePlay
4314,3x champ with the @warriors... @andre! ?????? #ThisIsWhyWePlay
4315,3x champ with the @warriors... @stephencurry30! ?????? #ThisIsWhyWePlay
4316,3x champ with the @warriors... @money23green! ?????? #ThisIsWhyWePlay
4317,3x champ with the @warriors... @klaythompson! ?????? #ThisIsWhyWePlay
4318,2x champ with the @warriors and back-to-back #NBAFinals MVP... @kevindurant! ???? #ThisIsWhyWePlay
4319,The THRILL of victory! #thisiswhyweplay
4320,Back to Back! #thisiswhyweplay
4321,@kingjames pays respect to Bill Russell. #thisiswhyweplay
4322,The @warriors defeat the @cavs 108-85 to secure the 2018 NBA title! #thisiswhyweplay
4323,3x NBA champ @klaythompson! #ThisIsWhyWePlay
4324,"?????? champ, @stephencurry30 of the @warriors!"
4325,The back-to-back MVP! #thisiswhyweplay
4326,The 2018 #NBAFinals MVP... @kevindurant of the @warriors! #thisiswhyweplay
4327,The @warriors are #NBAFinals CHAMPIONS! #ThisIsWhyWePlay
4328,"The 2018 NBA Champs... Golden State @Warriors!
#DubNation
#NBAFinals
#ThisIsWhyWePlay ????????????"
4329,@kingjames checks out. #NBAFinals.
4330,????
4331,K.D.3.5. #NBAFinals
4332,35 x 30 #DubNation
4333,@javalemcgee flies across for the denial! #NBAFinals #NBAonABC
4334,@kingjames finishes the @cavs break with a SLAM! #NBAFinals #NBAonABC
4335,@kevindurant breaks free! #NBAFinals
4336,Congrats to @teamswish of the @cavs for moving up to 8th on the #NBAPlayoffs 3PM list! #ThisIsWhyWePlay
4337,?? x ?? #WhateverItTakes
4338,?LeBron’s Game 4 #NBAFinals #NBAKicks! ?
4339,@stephencurry30 and @kevindurant look to secure the ?? with a @warriors win (9:00pm/et #NBAonABC)!
4340,"Facing elimination, @kingjames arrives for Game 4 of the #NBAFinals (9:00pm/et #NBAonABC)!"
4341,@kevindurant’s deep Game 3 triple... as heard around the world! #GlobalGame???? #NBAFinals
4342,Kobe Bryant steps up for the @Lakers in OT of Game 4 in 2000... one of the #BudweiserLegendaryMoments of the #NBAFinals
4343,GAMEDAY!
4344,??
4345,We celebrate @theofficialai3’s birthday with his TOP CROSSOVERS! (repost @nbahistory)
4346,"The Road Team Stole A Game, Now You Get a Free Taco on 6/13 from 2-6PM!  #StealATaco #TacoBellPartner"
4347,"Game 3 of the 2018 #NBAFinals, through the lens of our slo-mo #PhantomCam!"
4348,Which was your fave @kingjames self-oop in the #NBAFinals... Game 3 in 2018 or Game 4 in 2017???
4349,@kevindurant puts up 43 points 13 boards and 7 assists to lead the @warriors in Game 3 for a 3-0#NBAFinals lead!
4350,@kevindurant’s deeeep clutch triple headlines the TOP 3 PLAYS from Game 3 of the 2018 #NBAFinals presented by @youtube TV!
4351,Kevin Durant (43p/13r/7a) walks out with a 3-0 #NBAFinals lead for the @warriors!
4352,All 12 angles of @kingjames’ show-stoppin’ SLAM!
4353,"@kevindurant’s late triple, through the lens of our slo-mo #PhantomCam! #NBAFinals"
4354,The @warriors take 3-0 #NBAFinals lead with 110-102 victory in Game 3! #NBAFinals
4355,@kevindurant buries the late triple for the @warriors! #NBAFinals
4356,??
4357,@andre takes it STRONG late! #NBAFinals #NBAonABC
4358,@kingjames notches his 10th career #NBAFinals triple-double (currently 26p/11a/10r)!
4359,@realtristan13 goes up and under with the left! #NBAFinals #NBAonABC
4360,@kevindurant finds the cutting @sdot1414! #NBAFinals #NBAonABC
4361,35 x 23. #NBAFinals
4362,?? Bros. #NBAFinals
4363,Poetry in Motion.... @kingjames uses the glass for the SLAM!
4364,@kingjames powers to the rim! #NBAFinals #NBAonABC
4365,#NBAFinals MVPs!
4366,"Congrats to @KingJames of the @cavs for moving up to 5th on the #NBAFinals REBOUNDS list!
#ThisIsWhyWePlay #WhateverItTakes"
4367,@kingjames uses the window! #NBAFinals #NBAonABC
4368,The #NBAFinals are underway in Cleveland!
4369,It’s GAMETIME in Cleveland! #NBAonABC
4370,?? a few guys who live ABOVE the rim!! #NBAFinals ??
4371,@stephencurry30 arrives seeking a 3-0 #NBAFinals lead with a @warriors win (9pm/et #NBAonABC).
4372,@stephencurry30 was ?????? in Game 2! #NBAFinals #NBABreakdown
4373,LeBron arrives for tonight’s @Cavs #NBAFinals action in Cleveland!
4374,The @warriors move the ball for the SLAM! #StateFarmAssist
4375,"“Warriors go up and take Game 2!”
•••
#NBASoundUp ????: @gallo_locknez
#NBAFinals Game 3: 9:00pm/et #NBAonABC"
4376,"It’s GAME DAY… the 2018 #NBAFinals presented by @YouTube TV between the @Cavs and @Warriors continues tonight! •••
?? Game 3: 9:00pm/et #NBAonABC with YouTubeTV"
4377,GAME DAY!
4378,LeBron showed his support for the defending champion @MinnesotaLynx at the #NBAFinals. (repost @wnba)
4379,@stephencurry30 and @klaythompson get loose for @warriors practice. #NBAFinals
4380,Shots up at @cavs practice back at The Q! #NBAFinals
4381,LeBron’s #NBAKicks today! #NBAFinals
4382,?? @stephencurry30’s TOP 5 PLAYS of the 2018 #NBAFinals so far!
4383,"@stephencurry30’s wild buzzer-beater from Game 2, as heard around the world! #GlobalGame????"
4384,"Game 2 of the 2018 #NBAFinals, through the lens of our slo-mo #PhantomCam!"
4385,The spotlight shines on Game 2 of the 2018 #NBAFinals! (????: @gwephoto)
4386,@javalemcgee (6/6) and @sdot1414 (5/5) shoot ?? from the field in Game 2! #NBAFinals
4387,Headlined by @stephencurry30’s historic night... the TOP 3 PLAYS from Game 2 of the 2018 #NBAFinals presented by @youtube TV!
4388,?? @e40 on @stephencurry30! #NBACelebRow #NBAFinals
4389,@klaythompson on @stephencurry30’s historic night! #NBAFinals
4390,The @warriors take 2-0 #NBAFinals lead with 122-103 Game 2 victory!
4391,How’d he do that?! ?? #NBAFinals #NBAonABC
4392,"Congrats to @klaythompson of the @warriors for moving up to 3rd on the #NBAFinals 3PM list!
#ThisIsWhyWePlay #DubNation"
4393,@stephencurry30 lets it fly off the fake! #NBAFinals #NBAonABC
4394,@stephencurry30 off the dribble to @1jordanbell! #NBAFinals #NBAonABC
4395,15p/8a/7r for @kingjames and 16p/6a/5r for @stephencurry30 at the half! #NBAFinals
4396,"Go get it, rook! #PhantomCam #NBAFinals"
4397,Got your back. #NBAFinals
4398,The give and go! #NBAFinals #NBAonABC
4399,SC30 #NBAFinals
4400,@money23green breaks free for the @warriors SLAM early! #NBAFinals #NBAonABC
4401,Game 2 of the 2018 #NBAFinals is underway #NBAonABC... who ya got?
4402,????
4403,???? #NBAFinals
4404,"After scoring 29 in Game 1, @stephencurry30 gets loose for Game 2 of the #NBAFinals. #NBAonABC"
4405,@kingjames leads the @cavs in to Game 2 of the #NBAFinals (8pm/et #NBAonABC)!
4406,"The @warriors move the ball to beat the buzzer! #NBABreakdown
•••
#NBAFinals Game 2: 8pm/et #NBAonABC"
4407,"#NBAFinals ??
•••
Game 2: 8pm/et #NBAonABC"
4408,"It’s GAME DAY… the 2018 #NBAFinals presented by @YouTube TV between the @Cavs and @Warriors continues tonight! •••
?? Game 2: 8:00pm/et #NBAonABC with YouTubeTV"
4409,Join us in wishing @al_horford of the @celtics a HAPPY 32nd BIRTHDAY! #NBABDAY
4410,Demari to Jacari... the Henderson brothers are putting on a show! #JrNBAWorldChampionship (repost @jrnba)
4411,Shots up ahead of @cavs #NBAFinals practice
4412,"Coming off 29/9/6 in the @warriors Game 1 W, @stephencurry30 gets shots up at today’s #NBAFinals practice."
4413,The last 50-point game in the #NBAFinals...Michael Jordan puts up 55 for the @chicagobulls in Game 4 of the 1993 #NBAFinals! #NBAvault (repost @nbahistory)
4414,?? Milaysia Fulwiley (21 PTS) with an impressive move in transition! #JrNBAWorldChampionship (repost @jrnba)
4415,"Our slo-mo #PhantomCam look at Game 1, set to “Gloves Are Comin’ Off” by 7KingZ featuring The Phantoms!"
4416,"The BEST of #NBAFinals Game 1, through the lens of our slow-mo #PhantomCam!"
4417,From being like Maya... to meeting Maya! #WatchMeWork (repost @wnba)
4418,"?? @kingjames puts up incredible 51/8/8 in Game 1, as heard around the world! #GlobalGame???? #NBAFinals"
4419,"?? @stephencurry30’s Game 1 buzzer-beater, as heard around the world! #GlobalGame???? #NBAFinals"
4420,The spotlight on Game 1 of the 2018 #NBAFinals! (????: @gwephoto)
4421,@money23green (13p/11r/9a/5s/2b) walks off with 1-0 #NBAFinals lead for the @warriors!
4422,The @warriors pull away in OT to secure Game 1 W in the 2018 #NBAFinals
4423,The @warriors take 1-0 #NBAFinals lead with 124-114 OT victory!
4424,What a pass by @stephencurry30!
4425,@kingjames gets it to fall off contact! #NBAFinals #NBAonABC
4426,@kingjames takes flight! #NBAFinals
4427,@unclejeffgreen finds the cutting @kingjames for the SLAM! #NBAFinals #NBAonABC
4428,Poetry in Motion... ??
4429,@kingjames caps personal 7-0 run with the triple! #NBAFinals #NBAonABC
4430,@stephencurry30 beats the first-half buzzer! #NBAFinals #NBAonABC
4431,30 x 35! #DubNation
4432,"Congrats to @KlayThompson of the @warriors for moving up to 6th on the #NBAPlayoffs 3PM list!
#ThisIsWhyWePlay #DubNation"
4433,@kingjames glides to the rack for the @cavs! #NBAFinals #NBAonABC
4434,@kingjames on the attack! #NBAFinals #NBAonABC
4435,23 x 35! #NBAFinals #NBAonABC
4436,?? @kevindurant ??
4437,@kevindurant breaks free for the oop from @stephencurry30! #NBAFinals #NBAonABC
4438,The 2018 #NBAFinals are underway! #NBAonABC
4439,It’s GAMETIME! #NBAFinals #NBAonABC
4440,LeBron’s #NBAFinals #NBAKicks!
4441,@stephencurry30 has arrived at Oracle Arena for Game 1 of the #NBAFinals!
4442,Suited up... the @cavs arrive for Game 1 of the #NBAFinals (9pm/et #NBAonABC)!
4443,"The @Warriors and @Cavs... two of the best at cutting to the basket! #NBABreakdown •••
??: #NBAFinals ??: #WhateverItTakes x #DubNation ?: 9:00pm/et TONIGHT ??: #NBAonABC"
4444,"Tell us WHO YA GOT in the #NBAFinals with #KiaWhoYaGot + #Sweepstakes for a chance at winning an NBA Homecourt Prize to deck your living room out in your team’s colors + TV, PS4, NBA2K18 & more!"
4445,The TOP 5 PLAYS from the @cavs/@warriors #NBAFinals trilogy!
4446,"Eight straight #NBAFinals appearances, an incredible feat by @KingJames! •••
Game 1: 9:00pm/et #NBAonABC"
4447,"It’s GAMEDAY… the 2018 #NBAFinals presented by @YouTube TV between the @Cavs and @Warriors is here! •••
?? Game 1: 9:00pm/et #NBAonABC with YouTubeTV"
4448,Ahead of Game 1 of the #NBAFinals (9pm/et #NBAonABC)... we showcase the BEST of @kingjames in the 2018 #NBAPlayoffs!
4449,We’re 24 HOURS out from Game 1 of the 2018 #NBAFinals (9pm/et Thursday #NBAonABC)!
4450,"We’re ONE DAY out from the 2018 #NBAFinals presented by @YouTube TV. •••
?? Game 1: 9pm/et May 31 #NBAonABC with YouTubeTV"
4451,?????? the TOP 3 DUNKS of the #NBAPlayoffs thus far!
4452,?????? the BEST TRIPLES of the #NBAPlayoffs thus far!
4453,???? the BEST REACTIONS of the 2018 #NBAPlayoffs thus far!
4454,?? the BEST MOMENTS of the #NBAPlayoffs so far!
4455,Droppin’ dimes... the top ASSISTS from the Western Conference Finals!
4456,The top #KumhoHandles from the Eastern Conference Finals!
4457,The top #KumhoHandles from the Western Conference Finals!
4458,TWO REMAIN... The @warriors and @cavs will face off in the #NBAFinals for an unprecedented fourth straight year!
4459,The 2018 #NBAFinals tip off in TWO DAYS (Thursday 5/31 #NBAonABC)!
4460,Join us in wishing @carmeloanthony of the @okcthunder a HAPPY 34th BIRTHDAY! #NBABDAY
4461,The @warriors celebrate their 4th consecutive Western Conference title! (??: @noahgphotos)
4462,@stephencurry30 fills it up with 27p/10a/9r/4s to lead the @warriors in GAME 7 and into the #NBAFinals!
4463,The @warriors are headed to the #NBAFinals for the 4th straight season!
4464,The @warriors defeat the @houstonrockets 101-92 to advance to the #NBAFinals!
4465,@money23green and @stephencurry30... headed to their fourth straight #NBAFinals!
4466,The @warriors are headed to the #NBAFinals!
4467,Dubs.
4468,@stephencurry30 scores 11 straight in the 3rd!
4469,@1jordanbell knows where to find @stephencurry30!
4470,We have liftoff! ????
4471,James x Kevin... GAME 7
4472,@officialeg10 goes the length of the floor to beat the buzzer!
4473,Ayyyyyyy!!!!
4474,@jharden13 off the dribble for the reverse!
4475,@officialeg10 sets up @ccapela15 off the dribble!
4476,"@jharden13 steps back for the triple, plus the foul!"
4477,Game 7 of the Western Conference Finals starts NOW! ??: @nbaontnt! #NBAPlayoffs
4478,GAME 7 ON DECK... @nbaontnt!
4479,The @Warriors and @HoustonRockets move with and without the ball for triples! #NBABreakdown ??: GAME 7 ?: 9:00pm/et ??: @NBAonTNT
4480,"The two best words in sports, GAME 7... 9pm/et @nbaontnt!"
4481,The 2018 #NBAFinals tip off in 3 Days (Thursday 5/31 #NBAonABC)!
4482,@stephencurry30 gets shots up at @warriors shootaround in Houston. GAME 7 vs @houstonrockets tips at 9pm/et on @nbaontnt. #NBAPlayoffs
4483,Winner goes to the #NBAFinals... 9:00pm/et @nbaontnt... will it be the @warriors or @houstonrockets?
4484,35 points // 15 rebounds // 9 assists // 48 minutes // Game #100 ...@kingjames leads the @cavs to GAME 7 W!
